Frame,Prediction,Confidence,FPS
599,crocodile,0.9738,0.8
600,crocodile,0.9639,0.75
601,crocodile,0.9696,0.89
602,crocodile,0.9688,0.84
603,crocodile,0.9693,0.77
604,crocodile,0.9696,0.88
605,crocodile,0.9492,0.77
606,crocodile,0.9417,0.83
607,crocodile,0.9205,0.82
608,crocodile,0.9153,0.9
609,crocodile,0.869,0.79
610,crocodile,0.8825,0.86
611,crocodile,0.9082,0.77
612,crocodile,0.8638,0.92
613,crocodile,0.9394,0.9
614,crocodile,0.9503,0.79
615,crocodile,0.9451,0.92
616,crocodile,0.9473,0.78
617,crocodile,0.9509,0.92
618,crocodile,0.9625,0.81
619,crocodile,0.9475,0.8
620,crocodile,0.9326,0.77
621,crocodile,0.9417,0.89
622,crocodile,0.9203,0.9
623,crocodile,0.9354,0.72
624,crocodile,0.9367,0.79
625,crocodile,0.9669,0.89
626,crocodile,0.8989,0.85
627,crocodile,0.9312,0.75
628,crocodile,0.886,0.81
629,crocodile,0.9092,0.91
630,crocodile,0.9162,0.86
631,crocodile,0.9282,0.84
632,crocodile,0.8911,0.76
633,crocodile,0.8716,0.93
634,crocodile,0.8858,0.86
635,crocodile,0.8666,0.76
636,crocodile,0.768,0.91
637,crocodile,0.8542,0.91
638,crocodile,0.9189,0.87
639,crocodile,0.9184,0.77
640,crocodile,0.9245,0.76
641,crocodile,0.9288,0.91
642,crocodile,0.9115,0.89
643,crocodile,0.9513,0.86
644,crocodile,0.9703,0.73
645,crocodile,0.9752,0.86
646,crocodile,0.9754,0.9
647,crocodile,0.9751,0.87
648,crocodile,0.9782,0.74
649,crocodile,0.9897,0.91
650,crocodile,0.9915,0.87
651,crocodile,0.9813,0.86
652,crocodile,0.9903,0.78
653,crocodile,0.9928,0.85
654,crocodile,0.9935,0.85
655,crocodile,0.994,0.86
656,crocodile,0.9954,0.78
657,crocodile,0.996,0.77
658,crocodile,0.9967,0.82
659,crocodile,0.9941,0.75
660,crocodile,0.9958,0.79
661,crocodile,0.9964,0.81
662,crocodile,0.993,0.86
663,crocodile,0.9842,0.82
664,crocodile,0.9794,0.74
665,crocodile,0.9811,0.87
666,crocodile,0.9501,0.87
667,crocodile,0.9511,0.85
668,crocodile,0.9646,0.77
669,crocodile,0.9597,0.84
670,non-crocodile,0.7709,0.91
671,crocodile,0.6789,0.74
672,crocodile,0.8715,0.77
673,crocodile,0.938,0.86
674,non-crocodile,0.7822,0.77
675,crocodile,0.5814,0.85
676,non-crocodile,0.7396,0.8
677,non-crocodile,0.6669,0.9
678,non-crocodile,0.903,0.85
679,non-crocodile,0.6112,0.85
680,crocodile,0.7495,0.79
681,crocodile,0.7719,0.91
682,crocodile,0.9431,0.82
683,crocodile,0.9533,0.85
684,crocodile,0.9353,0.77
685,crocodile,0.9416,0.89
686,crocodile,0.967,0.83
687,crocodile,0.9773,0.83
688,crocodile,0.9631,0.76
689,crocodile,0.9509,0.87
690,crocodile,0.9688,0.83
691,crocodile,0.9664,0.76
692,crocodile,0.9603,0.89
693,crocodile,0.9696,0.86
694,crocodile,0.9492,0.72
695,crocodile,0.9608,0.78
696,crocodile,0.9493,0.91
697,crocodile,0.9302,0.82
698,crocodile,0.9407,0.84
699,crocodile,0.946,0.75
700,crocodile,0.9306,0.88
701,crocodile,0.9394,0.75
702,crocodile,0.9022,0.85
703,crocodile,0.9107,0.85
704,crocodile,0.9155,0.85
705,crocodile,0.8871,0.68
706,crocodile,0.9286,0.89
707,crocodile,0.857,0.81
708,crocodile,0.8845,0.61
709,crocodile,0.8498,0.8
710,crocodile,0.8841,0.78
711,crocodile,0.8667,0.83
712,crocodile,0.8459,0.77
713,crocodile,0.905,0.91
714,crocodile,0.8991,0.74
715,crocodile,0.9286,0.82
716,crocodile,0.7126,0.77
717,crocodile,0.8105,0.87
718,crocodile,0.8322,0.88
719,crocodile,0.7827,0.77
720,crocodile,0.7093,0.75
721,non-crocodile,0.75,0.88
722,crocodile,0.9625,0.88
723,crocodile,0.9622,0.78
724,crocodile,0.9695,0.75
725,non-crocodile,0.8551,0.87
726,non-crocodile,0.7995,0.79
727,non-crocodile,0.8457,0.81
728,non-crocodile,0.8338,0.75
729,non-crocodile,0.7963,0.87
730,non-crocodile,0.7831,0.82
731,non-crocodile,0.8017,0.77
732,non-crocodile,0.8042,0.9
733,non-crocodile,0.8201,0.86
734,non-crocodile,0.8089,0.86
735,non-crocodile,0.8113,0.74
736,non-crocodile,0.7528,0.87
737,non-crocodile,0.8014,0.85
738,non-crocodile,0.7352,0.76
739,non-crocodile,0.8129,0.88
740,non-crocodile,0.8484,0.88
